year,who_region,total_counts,climate_prop,health_prop,intersection_prop
1995,Europe,17,0.24,0.94,0.06
1996,Europe,16,0.31,0.81,0.06
1997,Europe,18,0.44,0.83,0
1998,Europe,19,0.42,0.79,0.05
1999,Europe,18,0.22,0.94,0.06
2000,Europe,28,0.39,0.82,0.04
2001,Europe,22,0.27,0.91,0
2002,Europe,31,0.26,0.87,0.06
2003,Europe,27,0.26,0.93,0.11
2004,Europe,27,0.3,0.93,0.04
2005,Europe,30,0.37,0.8,0.03
2006,Europe,30,0.33,0.9,0.03
2007,Europe,47,0.98,0.45,0.13
2008,Europe,48,0.94,0.5,0.19
2009,Europe,50,0.94,0.5,0.22
2010,Europe,49,0.86,0.47,0.18
2011,Europe,43,0.84,0.6,0.23
2012,Europe,32,0.84,0.5,0.06
2013,Europe,37,0.62,0.7,0.08
2014,Europe,42,0.81,0.76,0.24
2015,Europe,46,0.91,0.46,0.09
2016,Europe,46,0.89,0.48,0.13
2017,Europe,42,0.9,0.57,0.07
2018,Europe,50,0.9,0.56,0.22
2019,Europe,50,0.96,0.54,0.18
2020,Europe,53,0.79,1,0.45
1971,Eastern Mediterranean,5,0,1,0
1972,Eastern Mediterranean,6,0,1,0
1973,Eastern Mediterranean,4,0,1,0
1974,Eastern Mediterranean,5,0,1,0
1975,Eastern Mediterranean,3,0,1,0
1976,Eastern Mediterranean,5,0,1,0
1977,Eastern Mediterranean,10,0,1,0
1978,Eastern Mediterranean,4,0,1,0
1979,Eastern Mediterranean,6,0,1,0
1980,Eastern Mediterranean,9,0,1,0
1981,Eastern Mediterranean,6,0,1,0
1982,Eastern Mediterranean,5,0,1,0
1983,Eastern Mediterranean,5,0,1,0
1984,Eastern Mediterranean,7,0,1,0
1985,Eastern Mediterranean,9,0,1,0
1986,Eastern Mediterranean,8,0.12,1,0
1987,Eastern Mediterranean,8,0,1,0
1988,Eastern Mediterranean,7,0,1,0
1989,Eastern Mediterranean,8,0.12,1,0.12
1990,Eastern Mediterranean,12,0.08,0.92,0
1991,Eastern Mediterranean,9,0,1,0
1992,Eastern Mediterranean,9,0.11,0.89,0
1993,Eastern Mediterranean,9,0.11,1,0
1994,Eastern Mediterranean,12,0.17,0.83,0
1995,Eastern Mediterranean,7,0.14,1,0
1996,Eastern Mediterranean,9,0,1,0
1997,Eastern Mediterranean,6,0,1,0
1998,Eastern Mediterranean,10,0.1,0.9,0
1999,Eastern Mediterranean,11,0.09,1,0
2000,Eastern Mediterranean,16,0,1,0
2001,Eastern Mediterranean,9,0.22,1,0
2002,Eastern Mediterranean,13,0.08,1,0.08
2003,Eastern Mediterranean,9,0,1,0
2004,Eastern Mediterranean,10,0,1,0
2005,Eastern Mediterranean,12,0,1,0
2006,Eastern Mediterranean,10,0,1,0
2007,Eastern Mediterranean,15,0.73,0.73,0.13
2008,Eastern Mediterranean,13,1,0.46,0
2009,Eastern Mediterranean,16,0.81,0.62,0.25
2010,Eastern Mediterranean,15,0.8,0.6,0.07
2011,Eastern Mediterranean,11,0.64,0.73,0.09
2012,Eastern Mediterranean,13,0.46,0.85,0.08
2013,Eastern Mediterranean,13,0.54,0.77,0.08
2014,Eastern Mediterranean,14,0.5,0.79,0.07
2015,Eastern Mediterranean,13,0.54,0.54,0.08
2016,Eastern Mediterranean,12,0.75,0.67,0
2017,Eastern Mediterranean,15,0.73,0.67,0.13
2018,Eastern Mediterranean,10,0.5,0.7,0.2
2019,Eastern Mediterranean,14,0.93,0.36,0.07
2020,Eastern Mediterranean,20,0.6,1,0.3
1970,Africa,5,0,1,0
1971,Africa,14,0,1,0
1972,Africa,16,0,1,0
1973,Africa,15,0,1,0
1974,Africa,11,0,1,0
1975,Africa,7,0,1,0
1976,Africa,17,0,1,0
1977,Africa,17,0,1,0
1978,Africa,15,0,1,0
1979,Africa,21,0,1,0
1980,Africa,26,0.04,1,0
1981,Africa,19,0.05,0.95,0
1982,Africa,14,0.14,0.93,0
1983,Africa,17,0,1,0
1984,Africa,21,0,1,0
1985,Africa,23,0.04,0.96,0
1986,Africa,21,0,1,0
1987,Africa,18,0,1,0
1988,Africa,20,0.05,0.95,0
1989,Africa,23,0.17,0.91,0
1990,Africa,26,0.08,0.96,0
1991,Africa,21,0.14,0.9,0
1992,Africa,22,0.27,0.91,0
1993,Africa,21,0.1,0.95,0
1994,Africa,26,0.12,0.92,0
1995,Africa,27,0.07,0.96,0
1996,Africa,28,0.11,1,0
1997,Africa,25,0.2,0.92,0
1998,Africa,20,0.1,0.95,0
1999,Africa,30,0.03,0.97,0
2000,Africa,30,0.03,1,0
2001,Africa,37,0.08,0.97,0
2002,Africa,34,0.03,1,0
2003,Africa,35,0.06,0.97,0
2004,Africa,34,0.09,0.94,0
2005,Africa,32,0.09,1,0.06
2006,Africa,31,0.13,1,0.06
2007,Africa,41,0.93,0.71,0.27
2008,Africa,42,0.81,0.79,0.19
2009,Africa,44,0.95,0.66,0.2
2010,Africa,41,0.8,0.68,0.17
2011,Africa,37,0.84,0.68,0.16
2012,Africa,33,0.61,0.76,0.12
2013,Africa,36,0.47,0.97,0.17
2014,Africa,43,0.7,0.93,0.19
2015,Africa,42,0.81,0.79,0.21
2016,Africa,43,0.93,0.6,0.16
2017,Africa,44,0.91,0.5,0.14
2018,Africa,36,0.86,0.61,0.19
2019,Africa,44,1,0.66,0.32
2020,Africa,43,0.72,1,0.47
