year,WHO Region,total_counts,climate_prop,health_prop,intersection_prop
1971,Americas,8,0,1,0
1972,Americas,12,0,1,0
1973,Americas,14,0.07,0.93,0
1974,Americas,12,0,1,0
1975,Americas,11,0,1,0
1976,Americas,8,0,1,0
1977,Americas,15,0,1,0
1978,Americas,15,0.07,1,0
1979,Americas,16,0.12,0.94,0
1980,Americas,14,0.14,0.93,0
1981,Americas,12,0.08,1,0
1982,Americas,15,0,1,0
1983,Americas,14,0.07,1,0
1984,Americas,16,0,1,0
1985,Americas,21,0,1,0
1986,Americas,12,0,1,0
1987,Americas,19,0,1,0
1988,Americas,18,0.22,0.89,0
1989,Americas,23,0.43,0.87,0
1990,Americas,22,0.18,0.91,0
1991,Americas,19,0.37,0.84,0.11
1992,Americas,24,0.29,0.88,0
1993,Americas,19,0.16,0.95,0.05
1994,Americas,24,0.21,0.96,0
1995,Americas,23,0.3,0.91,0.04
1996,Americas,23,0.22,0.96,0
1997,Americas,21,0.33,0.9,0
1998,Americas,23,0.39,0.74,0.04
1999,Americas,20,0.2,0.95,0.05
2000,Americas,31,0.29,0.9,0
2001,Americas,26,0.35,0.88,0
2002,Americas,25,0.16,1,0.04
2003,Americas,26,0.12,1,0.04
2004,Americas,30,0.23,0.97,0
2005,Americas,29,0.31,0.97,0.03
2006,Americas,27,0.3,0.93,0.04
2007,Americas,33,0.88,0.7,0.15
2008,Americas,33,0.91,0.88,0.33
2009,Americas,34,0.94,0.71,0.18
2010,Americas,34,0.97,0.71,0.26
2011,Americas,34,0.91,0.79,0.29
2012,Americas,29,0.83,0.86,0.24
2013,Americas,33,0.7,0.91,0.15
2014,Americas,35,0.8,0.89,0.23
2015,Americas,31,0.94,0.71,0.16
2016,Americas,34,0.91,0.76,0.21
2017,Americas,35,0.94,0.69,0.06
2018,Americas,33,0.91,0.79,0.27
2019,Americas,34,0.94,0.74,0.15
2020,Americas,35,0.86,1,0.49
2021,Americas,35,0.94,1,0.74
2022,Americas,34,0.88,0.97,0.47
1970,Africa,6,0,1,0
1971,Africa,14,0,1,0
1972,Africa,16,0,1,0
1973,Africa,15,0,1,0
1974,Africa,11,0,1,0
1975,Africa,7,0,1,0
1976,Africa,17,0,1,0
1977,Africa,18,0,1,0
1978,Africa,17,0,1,0
1979,Africa,22,0,1,0
1980,Africa,27,0.04,1,0
1981,Africa,20,0.05,0.95,0
1982,Africa,15,0.13,0.93,0
1983,Africa,18,0,1,0
1984,Africa,21,0,1,0
1985,Africa,24,0.04,0.96,0
1986,Africa,22,0,1,0
1987,Africa,20,0,1,0
1988,Africa,20,0.05,0.95,0
1989,Africa,23,0.17,0.91,0
1990,Africa,27,0.07,0.96,0
1991,Africa,22,0.18,0.91,0
1992,Africa,23,0.26,0.91,0
1993,Africa,22,0.09,0.95,0
1994,Africa,27,0.11,0.93,0
1995,Africa,27,0.07,0.96,0
1996,Africa,30,0.1,1,0
1997,Africa,25,0.2,0.92,0
1998,Africa,22,0.09,0.95,0
1999,Africa,31,0.03,0.97,0
2000,Africa,32,0.03,1,0
2001,Africa,39,0.08,0.97,0
2002,Africa,35,0.03,1,0
2003,Africa,37,0.05,0.97,0
2004,Africa,35,0.09,0.94,0
2005,Africa,34,0.09,1,0.06
2006,Africa,33,0.15,1,0.06
2007,Africa,43,0.93,0.67,0.26
2008,Africa,44,0.82,0.8,0.18
2009,Africa,46,0.96,0.67,0.22
2010,Africa,43,0.81,0.7,0.21
2011,Africa,39,0.85,0.69,0.15
2012,Africa,35,0.63,0.77,0.17
2013,Africa,38,0.5,0.97,0.18
2014,Africa,45,0.71,0.93,0.2
2015,Africa,44,0.82,0.77,0.2
2016,Africa,44,0.93,0.59,0.16
2017,Africa,46,0.91,0.5,0.15
2018,Africa,38,0.87,0.61,0.18
2019,Africa,46,1,0.65,0.3
2020,Africa,45,0.71,1,0.47
2021,Africa,47,0.94,1,0.45
2022,Africa,46,0.98,0.96,0.48
