country,year,climate_count,health_count,intersection_count
AUS,2019,15,2,2
AUT,1960,0,1,0
AUT,1973,0,1,0
AUT,1985,0,1,0
AUT,1987,0,1,0
AUT,1988,2,1,1
AUT,1989,0,1,0
AUT,1990,2,0,0
AUT,1993,0,1,0
AUT,1998,2,1,1
AUT,2000,0,3,0
AUT,2001,1,0,0
AUT,2002,1,0,0
AUT,2003,1,0,0
AUT,2004,1,2,0
AUT,2005,2,0,0
AUT,2006,2,1,0
AUT,2007,3,0,0
AUT,2008,5,1,1
AUT,2009,4,0,0
AUT,2010,5,0,0
AUT,2011,1,0,0
AUT,2012,3,0,0
AUT,2014,0,3,0
AUT,2016,1,0,0
AUT,2017,1,0,0
AUT,2018,1,0,0
AUT,2019,6,0,0
AZE,1993,0,1,0
AZE,1994,0,2,0
AZE,1995,0,1,0
AZE,1998,0,1,0
AZE,2010,1,0,0
AZE,2011,1,0,0
AZE,2013,0,1,0
AZE,2018,0,1,0
AZE,2019,5,0,0
BDI,1963,0,1,0
BDI,1966,0,2,0
BDI,1968,0,1,0
BDI,1974,0,2,0
BDI,1977,0,3,0
BDI,1978,0,3,0
BDI,1979,0,3,0
BDI,1980,0,1,0
BDI,1985,0,1,0
BDI,1986,0,1,0
BDI,1987,0,2,0
BDI,1988,0,3,0
BDI,1989,0,2,0
BDI,1990,0,1,0
BDI,1992,0,4,0
BDI,1993,0,5,0
BDI,1994,0,2,0
BDI,1996,0,1,0
BDI,1997,0,6,0
BDI,1998,0,3,0
BDI,2000,0,8,0
BDI,2001,0,7,0
BDI,2002,0,2,0
BDI,2003,0,4,0
BDI,2004,0,2,0
BDI,2005,0,2,0
BDI,2006,0,6,0
BDI,2007,0,3,0
BDI,2008,1,6,0
BDI,2009,3,8,0
BDI,2010,3,2,0
BDI,2011,1,4,0
BDI,2012,0,2,0
BDI,2013,0,9,0
BDI,2014,0,9,0
BDI,2015,3,4,0
BDI,2016,1,1,0
BDI,2017,5,0,0
BDI,2018,3,1,0
BDI,2019,3,0,0
BEL,1975,0,1,0
BEL,1980,0,1,0
BEL,1982,0,1,0
BEL,1985,0,2,0
BEL,1986,0,6,0
BEL,1987,0,2,0
BEL,1988,0,2,0
BEL,1995,0,2,0
BEL,1998,0,2,0
BEL,1999,0,3,0
BEL,2001,1,3,0
BEL,2007,1,1,0
BEL,2008,2,0,0
BEL,2009,2,0,0
BEL,2011,1,0,0
BEL,2012,0,2,0
BEL,2013,0,2,0
BEL,2014,0,4,0
BEL,2015,1,0,0
BEL,2016,3,1,1
BEL,2017,2,0,0
BEL,2018,7,2,3
BEL,2019,7,3,0
BEN,1963,0,1,0
BEN,1964,0,3,0
BEN,1965,0,1,0
BEN,1971,0,1,0
BEN,1974,0,2,0
BEN,1981,0,1,0
BEN,1982,0,2,0
BEN,1983,0,3,0
BEN,1985,0,3,0
BEN,1987,0,2,0
BEN,1988,0,1,0
BEN,1989,0,5,0
BEN,1990,0,1,0
BEN,1991,0,1,0
BEN,1992,0,5,0
BEN,1993,0,3,0
BEN,1996,1,2,0
BEN,1997,0,2,0
BEN,1999,0,1,0
BEN,2001,0,1,0
BEN,2002,0,2,0
BEN,2005,0,1,0
BEN,2007,7,2,4
BEN,2008,3,0,0
BEN,2009,5,1,1
BEN,2010,3,1,0
BEN,2011,1,1,0
BEN,2012,0,8,0
BEN,2013,0,1,0
BEN,2014,1,7,0
BEN,2015,1,1,0
BEN,2016,3,0,0
BEN,2017,4,1,0
BEN,2018,0,2,0
BEN,2019,5,5,0
BFA,1962,0,1,0
BFA,1973,0,2,0
BFA,1977,0,1,0
BFA,1978,0,4,0
BFA,1979,0,2,0
BFA,1980,1,1,0
BFA,1983,0,3,0
BFA,1984,0,5,0
BFA,1985,0,3,0
BFA,1986,0,11,0
BFA,1988,0,1,0
BFA,1990,2,1,0
BFA,1991,0,2,0
BFA,1992,1,1,0
BFA,1995,1,0,0
BFA,1997,0,3,0
BFA,2000,0,3,0
BFA,2001,0,1,0
BFA,2003,0,2,0
BFA,2004,0,3,0
BFA,2005,0,1,0
BFA,2007,3,2,3
BFA,2008,1,0,0
BFA,2009,6,1,0
BFA,2010,3,0,0
BFA,2011,2,2,0
BFA,2012,1,0,0
BFA,2013,1,1,0
BFA,2014,2,5,0
BFA,2015,2,1,0
BFA,2016,3,3,0
BFA,2017,1,0,0
BFA,2018,2,3,0
BFA,2019,6,3,0
BGD,1974,0,2,0
BGD,1975,0,1,0
BGD,1977,0,1,0
BGD,1978,0,4,0
BGD,1979,0,5,0
BGD,1980,0,5,0
BGD,1981,0,2,0
BGD,1982,0,2,0
BGD,1984,0,2,0
BGD,1985,0,6,0
BGD,1986,0,3,0
BGD,1988,0,2,0
BGD,1989,2,6,0
BGD,1990,1,0,0
BGD,1991,0,1,0
BGD,1992,0,2,0
BGD,1993,0,2,0
BGD,1994,0,3,0
BGD,1995,0,2,0
BGD,1996,1,2,0
BGD,1997,0,1,0
BGD,1998,2,2,0
BGD,1999,0,3,0
BGD,2000,0,1,0
BGD,2001,0,2,0
BGD,2002,0,1,0
BGD,2003,0,2,0
BGD,2004,0,1,0
BGD,2005,0,4,0
BGD,2006,0,2,0
BGD,2007,5,0,0
BGD,2008,2,1,0
BGD,2009,11,7,1
BGD,2010,14,8,2
BGD,2011,7,5,0
BGD,2012,9,7,5
BGD,2013,5,3,0
BGD,2014,6,3,0
BGD,2015,5,2,0
BGD,2016,1,4,0
BGD,2017,2,1,0
BGD,2018,2,12,0
BGD,2019,1,5,0
BGR,1961,0,1,0
BGR,1967,0,1,0
BGR,1974,0,1,0
BGR,1979,0,1,0
BGR,1980,0,1,0
BGR,1985,0,1,0
BGR,1987,0,4,0
BGR,1988,0,1,0
BGR,1989,0,2,0
BGR,1991,1,1,0
BGR,2000,0,5,0
BGR,2002,0,2,0
BGR,2003,0,1,0
BGR,2004,0,1,0
BGR,2005,0,2,0
BGR,2007,4,0,0
BGR,2008,1,0,0
BGR,2009,2,0,0
BGR,2010,2,0,0
BGR,2011,1,6,2
BGR,2013,1,2,2
BGR,2014,1,1,0
BGR,2015,2,0,0
BGR,2016,1,0,0
BGR,2017,2,1,0
BGR,2018,1,0,0
BGR,2019,4,3,0
BHR,1972,0,1,0
BHR,1974,0,1,0
BHR,1976,0,1,0
BHR,1977,0,2,0
BHR,1978,0,3,0
BHR,1979,0,1,0
BHR,1985,0,1,0
BHR,1987,0,1,0
BHR,1989,0,2,0
BHR,1993,0,1,0
BHR,1994,0,1,0
BHR,1998,1,0,0
BHR,1999,0,1,0
BHR,2000,0,2,0
BHR,2001,0,1,0
BHR,2003,0,4,0
BHR,2007,4,0,0
BHR,2008,6,0,0
BHR,2009,7,3,1
BHR,2010,0,3,0
BHR,2011,1,1,1
BHR,2012,0,4,0
BHR,2014,2,4,4
BHR,2015,3,3,1
BHR,2016,1,1,0
BHR,2017,3,1,0
BHR,2019,0,2,0
BHS,1983,0,1,0
BHS,1984,0,1,0
BHS,1986,0,1,0
BHS,1987,0,1,0
BHS,1988,0,1,0
BHS,1991,1,0,0
BHS,1992,0,1,0
BHS,1993,0,3,0
BHS,1994,0,3,0
BHS,1995,1,1,1
BHS,1996,1,0,0
BHS,1997,0,2,0
BHS,1998,2,2,0
BHS,2000,1,7,0
BHS,2001,1,1,0
BHS,2002,1,5,0
BHS,2003,0,3,0
BHS,2004,3,4,0
BHS,2005,3,6,0
BHS,2006,2,1,0
BHS,2007,6,6,0
BHS,2008,5,2,0
BHS,2009,6,1,0
BHS,2010,6,7,0
BHS,2011,3,8,0
BHS,2012,2,3,0
BHS,2013,5,1,0
BHS,2014,5,0,0
BHS,2015,7,1,0
BHS,2016,2,0,0
BHS,2017,8,2,0
BHS,2018,3,0,0
BHS,2019,7,0,0
BIH,1993,0,1,0
BIH,2002,0,1,0
BIH,2003,0,1,0
BIH,2005,0,1,0
BIH,2006,0,2,0
BIH,2007,2,1,0
BIH,2009,2,0,0
BIH,2010,0,1,0
BIH,2011,4,0,0
BIH,2013,1,0,0
BIH,2015,5,0,0
BIH,2016,8,3,3
BIH,2017,1,1,0
BIH,2018,2,1,1
BIH,2019,1,0,0
BLR,1959,0,34,0
BLR,1961,0,1,0
BLR,1963,0,2,0
BLR,1964,0,1,0
BLR,1966,0,1,0
BLR,1967,0,1,0
BLR,1970,0,2,0
BLR,1974,0,1,0
BLR,1976,0,2,0
BLR,1977,0,2,0
BLR,1978,0,1,0
BLR,1982,0,1,0
BLR,1985,0,1,0
BLR,1986,0,1,0
BLR,1987,0,4,0
BLR,1988,0,2,0
BLR,1989,1,1,0
BLR,1990,0,2,0
BLR,1991,0,3,0
BLR,1993,1,5,0
BLR,1994,0,1,0
BLR,1995,0,4,0
BLR,1997,0,2,0
BLR,2000,1,0,0
BLR,2002,0,1,0
BLR,2004,0,1,0
BLR,2006,0,3,0
BLR,2007,6,0,0
BLR,2008,5,0,0
BLR,2009,3,0,0
BLR,2010,8,0,0
BLR,2011,1,0,0
BLR,2012,2,0,0
BLR,2014,1,0,0
BLR,2015,1,1,0
BLR,2016,0,1,0
BLR,2018,1,1,0
BLR,2019,5,0,0
BLZ,1983,0,1,0
BLZ,1985,0,2,0
BLZ,1988,0,1,0
BLZ,1989,3,1,0
BLZ,1990,0,4,0
BLZ,1991,1,2,0
BLZ,1992,0,2,0
BLZ,1993,1,1,0
BLZ,1994,1,1,0
BLZ,1995,1,0,0
BLZ,1997,1,0,0
BLZ,1998,0,2,0
BLZ,1999,0,1,0
BLZ,2000,2,0,0
BLZ,2001,3,4,0
BLZ,2002,0,1,0
BLZ,2004,1,0,0
BLZ,2005,5,3,0
BLZ,2007,12,0,0
BLZ,2008,2,3,0
BLZ,2009,8,3,0
BLZ,2010,0,1,0
BLZ,2011,9,13,11
BLZ,2012,6,2,0
BLZ,2013,5,6,0
BLZ,2014,9,10,4
BLZ,2015,14,3,1
BLZ,2016,3,2,1
BLZ,2017,2,3,1
BLZ,2018,3,3,0
BLZ,2019,7,1,0
BOL,1961,0,1,0
BOL,1965,0,4,0
BOL,1966,0,1,0
BOL,1970,0,1,0
BOL,1972,0,1,0
BOL,1973,0,3,0
BOL,1975,0,3,0
BOL,1978,0,3,0
BOL,1983,0,1,0
BOL,1984,0,4,0
BOL,1985,0,2,0
BOL,1987,0,1,0
BOL,1990,0,1,0
BOL,1992,0,4,0
BOL,1993,0,2,0
BOL,1996,0,2,0
BOL,1998,0,1,0
BOL,1999,0,2,0
BOL,2001,0,1,0
BOL,2005,0,1,0
BOL,2006,0,1,0
BOL,2007,7,0,0
BOL,2008,2,0,0
BOL,2009,3,0,0
BOL,2010,9,0,0
BOL,2012,0,1,0
BOL,2013,0,5,0
BOL,2014,1,1,0
BOL,2015,6,0,0
BOL,2016,1,0,0
BOL,2017,3,1,0
BOL,2018,3,2,0
BOL,2019,2,3,0
BRA,1959,0,2,0
BRA,1963,0,1,0
BRA,1977,0,1,0
BRA,1982,0,1,0
BRA,1985,0,2,0
BRA,1988,0,1,0
BRA,1989,1,4,0
BRA,1992,0,1,0
BRA,1995,0,1,0
BRA,1998,0,1,0
BRA,2000,0,1,0
BRA,2001,1,2,0
BRA,2003,0,2,0
BRA,2004,1,1,0
BRA,2005,1,1,1
BRA,2006,0,3,0
BRA,2007,8,2,0
BRA,2008,1,1,0
BRA,2009,9,0,0
BRA,2010,3,2,0
BRA,2011,4,2,0
BRA,2012,3,0,0
BRA,2013,0,4,0
BRA,2014,4,2,0
BRA,2015,10,0,0
BRA,2016,1,1,0
BRA,2017,4,0,0
BRA,2018,0,1,0
BRA,2019,0,1,0
BRB,1967,0,1,0
BRB,1975,0,1,0
BRB,1977,0,2,0
BRB,1979,0,2,0
BRB,1980,0,4,0
BRB,1981,0,1,0
BRB,1983,0,1,0
BRB,1984,0,2,0
BRB,1985,0,6,0
BRB,1986,0,3,0
BRB,1987,0,1,0
BRB,1988,1,3,0
BRB,1989,1,2,0
BRB,1990,0,1,0
BRB,1992,4,0,0
BRB,1993,0,5,0
BRB,1994,0,4,0
BRB,1997,1,1,0
BRB,2000,0,10,0
BRB,2001,0,3,0
BRB,2002,0,6,0
BRB,2004,1,1,0
BRB,2005,1,10,0
BRB,2006,0,3,0
BRB,2007,8,4,0
BRB,2008,8,1,0
BRB,2009,8,4,1
BRB,2010,5,3,0
BRB,2011,2,2,1
BRB,2012,9,1,0
BRB,2013,3,8,3
BRB,2014,6,2,0
BRB,2015,7,0,0
BRB,2016,3,0,0
BRB,2017,12,8,0
BRB,2018,7,4,0
BRB,2019,12,1,0
BRN,1986,0,2,0
BRN,1997,0,1,0
BRN,2000,0,1,0
BRN,2004,0,2,0
BRN,2005,0,1,0
BRN,2006,0,2,0
BRN,2007,3,1,0
BRN,2008,0,2,0
BRN,2009,0,1,0
BRN,2010,0,4,0
BRN,2011,1,2,0
BRN,2012,0,1,0
BRN,2014,2,2,2
BRN,2015,1,5,1
BRN,2017,3,3,0
BRN,2018,2,0,0
BRN,2019,3,1,0
BTN,1977,0,1,0
BTN,1982,0,1,0
BTN,1984,0,2,0
BTN,1986,0,2,0
BTN,1988,1,2,0
BTN,1990,0,1,0
BTN,1991,1,4,1
BTN,1992,0,2,0
BTN,1993,0,2,0
BTN,1994,0,2,0
BTN,1995,0,2,0
BTN,1996,0,2,0
BTN,1997,0,1,0
BTN,1998,0,1,0
BTN,1999,0,1,0
BTN,2001,0,1,0
BTN,2002,0,3,0
BTN,2007,5,0,0
BTN,2008,1,6,2
BTN,2009,6,1,0
BTN,2010,11,0,0
BTN,2011,2,3,0
BTN,2013,1,0,0
BTN,2014,1,2,0
BTN,2015,7,0,0
BTN,2016,7,1,0
BTN,2017,15,3,1
BTN,2018,14,0,0
BTN,2019,2,9,0
BWA,1974,0,1,0
BWA,1977,0,1,0
BWA,1979,0,1,0
BWA,1980,0,1,0
BWA,1983,0,1,0
BWA,1984,0,5,0
BWA,1986,0,1,0
BWA,1988,0,1,0
BWA,1989,0,3,0
BWA,1990,0,6,0
BWA,1992,0,1,0
BWA,1995,0,5,0
BWA,1996,0,2,0
BWA,1997,0,3,0
BWA,1999,0,7,0
BWA,2000,0,2,0
BWA,2001,0,5,0
BWA,2002,0,4,0
BWA,2003,0,3,0
BWA,2004,0,5,0
BWA,2006,0,2,0
BWA,2007,3,7,1
BWA,2008,1,6,1
BWA,2009,5,2,0
BWA,2010,2,2,0
BWA,2011,6,3,3
BWA,2012,4,2,2
BWA,2013,9,3,5
BWA,2014,5,5,0
BWA,2015,5,2,2
BWA,2016,3,1,1
BWA,2017,8,1,0
BWA,2018,0,2,0
BWA,2019,10,1,0
CAF,1965,0,1,0
CAF,1966,0,2,0
CAF,1968,0,1,0
CAF,1969,0,2,0
CAF,1972,0,1,0
CAF,1973,0,1,0
CAF,1975,0,5,0
CAF,1976,0,3,0
CAF,1977,0,2,0
CAF,1978,0,2,0
CAF,1979,0,5,0
CAF,1980,0,3,0
CAF,1981,0,3,0
CAF,1985,0,1,0
CAF,1986,0,1,0
CAF,1987,0,3,0
CAF,1995,0,2,0
CAF,1996,0,5,0
CAF,2000,0,1,0
CAF,2001,0,1,0
CAF,2002,0,6,0
CAF,2003,0,1,0
CAF,2004,0,2,0
CAF,2005,0,2,0
CAF,2006,2,8,0
CAF,2007,10,1,0
CAF,2008,1,1,0
CAF,2009,13,0,0
CAF,2010,1,6,0
CAF,2011,2,0,0
CAF,2012,1,0,0
CAF,2014,2,1,0
CAF,2015,2,1,0
CAF,2016,2,0,0
CAF,2017,4,0,0
CAF,2018,3,0,0
CAF,2019,5,0,0
CAN,1959,0,1,0
CAN,1960,0,2,0
CAN,1961,0,1,0
CAN,1962,0,3,0
CAN,1964,0,2,0
CAN,1965,0,2,0
CAN,1966,0,1,0
CAN,1967,0,1,0
CAN,1968,0,1,0
CAN,1969,0,2,0
CAN,1973,0,1,0
CAN,1974,0,2,0
CAN,1977,0,1,0
CAN,1978,0,1,0
CAN,1979,0,2,0
CAN,1981,0,1,0
CAN,1984,0,2,0
CAN,1985,0,2,0
CAN,1987,0,2,0
CAN,1988,3,1,0
CAN,1989,2,5,0
CAN,1990,0,4,0
CAN,1991,2,5,2
CAN,1992,1,1,0
CAN,1993,0,2,0
CAN,1994,0,1,0
CAN,1995,1,0,0
CAN,1996,0,1,0
CAN,1997,0,1,0
CAN,1998,1,1,0
CAN,2002,0,2,0
CAN,2003,0,7,0
CAN,2004,0,8,0
CAN,2005,0,5,0
CAN,2006,0,1,0
CAN,2007,0,1,0
CAN,2008,7,0,0
CAN,2009,11,0,0
CAN,2010,1,7,1
CAN,2011,0,2,0
CAN,2012,0,1,0
CAN,2013,0,5,0
CAN,2014,1,10,0
CAN,2015,7,6,0
CAN,2016,1,2,0
CAN,2017,2,2,0
CAN,2018,4,0,0
CAN,2019,6,4,2
CHE,2002,0,1,0
CHE,2003,0,1,0
CHE,2006,1,0,0
CHE,2007,5,2,2
CHE,2008,6,0,0
CHE,2009,4,1,1
CHE,2010,3,2,0
CHE,2012,3,0,0
CHE,2014,0,1,0
CHE,2015,4,0,0
CHE,2016,3,1,0
CHE,2017,5,1,1
CHE,2018,2,7,2
CHE,2019,2,0,0
CHL,1959,0,1,0
CHL,1960,0,1,0
CHL,1961,0,2,0
CHL,1963,0,3,0
CHL,1966,0,1,0
CHL,1967,0,1,0
CHL,1968,1,0,0
CHL,1969,0,2,0
CHL,1972,0,1,0
CHL,1974,0,1,0
CHL,1975,0,2,0
CHL,1976,0,1,0
CHL,1978,0,1,0
CHL,1980,0,2,0
CHL,1981,0,3,0
CHL,1988,0,2,0
CHL,1989,0,2,0
CHL,1990,0,2,0
CHL,1992,1,0,0
CHL,1995,0,2,0
CHL,1998,1,0,0
CHL,1999,1,1,0
CHL,2000,1,0,0
CHL,2001,1,0,0
CHL,2004,0,1,0
CHL,2006,0,1,0
CHL,2007,6,3,1
CHL,2008,2,5,0
CHL,2009,6,0,0
CHL,2010,1,1,1
CHL,2011,1,3,1
CHL,2013,0,1,0
CHL,2014,5,1,1
CHL,2015,2,0,0
CHL,2016,1,1,0
CHL,2017,7,0,0
CHL,2018,15,4,1
CHL,2019,25,1,0
CHN,1960,0,4,0
CHN,1962,0,1,0
CHN,1963,0,2,0
CHN,1965,0,1,0
CHN,1966,0,2,0
CHN,1969,0,1,0
CHN,1972,0,1,0
CHN,1974,0,1,0
CHN,1988,0,1,0
CHN,1991,0,1,0
CHN,1992,1,0,0
CHN,1998,0,2,0
CHN,2003,0,11,0
CHN,2005,0,5,0
CHN,2007,9,0,0
CHN,2008,1,1,1
CHN,2009,5,6,3
CHN,2013,3,1,0
CHN,2014,4,5,3
CHN,2015,1,0,0
CHN,2016,4,1,0
CHN,2017,2,0,0
CHN,2018,2,0,0
CHN,2019,1,6,0
CIV,1965,0,2,0
CIV,1969,0,2,0
CIV,1971,0,2,0
CIV,1972,0,2,0
CIV,1977,0,1,0
CIV,1978,0,1,0
CIV,1979,0,3,0
CIV,1980,0,1,0
CIV,1981,0,2,0
CIV,1994,0,3,0
CIV,1996,0,3,0
CIV,1998,0,6,0
CIV,1999,0,4,0
CIV,2000,0,1,0
CIV,2001,0,7,0
CIV,2002,0,7,0
CIV,2003,0,5,0
CIV,2005,0,8,0
CIV,2006,0,5,0
CIV,2007,0,1,0
CIV,2009,4,0,0
CIV,2010,7,7,1
CIV,2011,2,2,0
CIV,2013,0,1,0
CIV,2014,2,5,1
CIV,2015,3,6,1
CIV,2016,2,0,0
CIV,2017,6,0,0
CIV,2018,2,5,0
CIV,2019,8,6,1
CMR,1961,0,4,0
CMR,1964,1,3,0
CMR,1965,0,4,0
CMR,1966,0,3,0
CMR,1967,0,2,0
CMR,1970,0,1,0
CMR,1971,0,1,0
CMR,1972,0,1,0
CMR,1974,0,1,0
CMR,1976,0,2,0
CMR,1980,0,3,0
CMR,1984,0,2,0
CMR,1985,0,3,0
CMR,1986,0,2,0
CMR,1987,0,1,0
CMR,1988,0,2,0
CMR,1989,0,2,0
CMR,1990,0,1,0
CMR,1992,0,1,0
CMR,1993,0,1,0
CMR,1994,0,1,0
CMR,1995,0,1,0
CMR,1998,0,3,0
CMR,1999,0,2,0
CMR,2001,0,2,0
CMR,2002,0,1,0
CMR,2003,0,2,0
CMR,2004,0,7,0
CMR,2005,0,1,0
CMR,2006,0,1,0
CMR,2007,5,0,0
CMR,2008,2,1,0
CMR,2009,5,2,3
CMR,2010,1,2,0
CMR,2013,1,5,0
CMR,2014,0,1,0
CMR,2016,2,0,0
CMR,2017,1,0,0
CMR,2018,1,1,0
CMR,2019,6,1,1
COD,1961,0,1,0
COD,1976,0,1,0
COD,1983,0,2,0
COD,1984,0,2,0
COD,1990,4,0,0
COD,1992,1,0,0
COD,1994,0,5,0
COD,1995,0,2,0
COD,1997,0,1,0
COD,1998,0,1,0
COD,1999,0,4,0
COD,2003,0,1,0
COD,2004,0,3,0
COD,2005,0,5,0
COD,2006,0,3,0
COD,2007,4,0,0
COD,2008,2,4,0
COD,2009,5,2,0
COD,2010,2,3,1
COD,2011,1,0,0
COD,2012,0,2,0
COD,2013,4,2,2
COD,2014,0,8,0
COD,2015,6,1,2
COD,2016,4,4,0
COD,2017,1,0,0
COD,2019,2,6,0
COG,1961,0,2,0
COG,1962,0,1,0
COG,1969,0,1,0
COG,1970,0,1,0
COG,1977,0,1,0
COG,1978,0,1,0
COG,1979,0,2,0
COG,1985,0,1,0
COG,1987,0,1,0
COG,1990,0,3,0
COG,1991,1,1,0
COG,1992,0,4,0
COG,1993,0,1,0
COG,1994,0,3,0
COG,1996,0,1,0
COG,1998,0,2,0
COG,2000,0,1,0
COG,2001,0,2,0
COG,2003,0,2,0
COG,2005,0,6,0
COG,2006,0,2,0
COG,2007,4,0,0
COG,2008,2,1,0
COG,2009,7,1,3
COG,2010,1,1,1
COG,2011,3,1,0
COG,2012,1,1,1
