,WHO,Year,intersection,climate,health,sum,Sector
49,South-East Asia,2016,0.0,10.0,44.0,54.0,Health Care Equipment & Ser...
50,South-East Asia,2017,0.0,10.0,48.0,58.0,Health Care Equipment & Ser...
51,South-East Asia,2018,0.0,10.0,46.0,56.0,Health Care Equipment & Ser...
52,South-East Asia,2019,0.0,10.0,61.0,71.0,Health Care Equipment & Ser...
53,South-East Asia,2020,2.0,6.0,9.0,17.0,Health Care Equipment & Ser...
54,South-East Asia,2021,0.0,3.0,113.0,116.0,Health Care Equipment & Ser...
55,South-East Asia,2022,0.0,0.0,43.0,43.0,Health Care Equipment & Ser...
56,Western Pacific,2011,12.0,54.0,317.0,383.0,Health Care Equipment & Ser...
57,Western Pacific,2012,1.0,17.0,236.0,254.0,Health Care Equipment & Ser...
58,Western Pacific,2013,30.0,112.0,517.0,659.0,Health Care Equipment & Ser...
59,Western Pacific,2014,10.0,35.0,341.0,386.0,Health Care Equipment & Ser...
60,Western Pacific,2015,9.0,35.0,334.0,378.0,Health Care Equipment & Ser...
61,Western Pacific,2016,20.0,35.0,399.0,454.0,Health Care Equipment & Ser...
62,Western Pacific,2017,3.0,43.0,331.0,377.0,Health Care Equipment & Ser...
63,Western Pacific,2018,13.0,78.0,609.0,700.0,Health Care Equipment & Ser...
64,Western Pacific,2019,5.0,19.0,488.0,512.0,Health Care Equipment & Ser...
65,Western Pacific,2020,8.0,65.0,571.0,644.0,Health Care Equipment & Ser...
66,Western Pacific,2021,51.0,133.0,882.0,1066.0,Health Care Equipment & Ser...
67,Western Pacific,2022,96.0,303.0,1221.0,1620.0,Health Care Equipment & Ser...
