country,year,sector,name,climate_count,health_count,intersection_count
Germany,2017,HealthCareEquipment&Ser...,COP2017_UNGlobalCompact_dt_engl.pdf?1486028876,0,2,0
Germany,2017,HealthCareEquipment&Ser...,Ottobock_CSR_Report16_EN.pdf?1496393445,6,21,0
Germany,2018,HealthCareEquipment&Ser...,elm-plastic_COP17_en.pdf?1515157419,0,3,0
Germany,2018,HealthCareEquipment&Ser...,WOM_Sustainability_Report17_CoP.pdf?1521565301,3,14,0
Germany,2019,HealthCareEquipment&Ser...,Communication_on_Progress18.pdf?1550754619,2,3,0
Germany,2019,HealthCareEquipment&Ser...,Communication_on_Progress19.pdf?1546856880,0,3,0
Germany,2019,HealthCareEquipment&Ser...,KARL_STORZ_Global_Compact_Communication-on-progress-report-2019.pdf?1577731191,2,21,0
Germany,2019,HealthCareEquipment&Ser...,WOM_Sustainability_Report18_UNGC.pdf?1560878226,14,49,1
Greece,2014,HealthCareEquipment&Ser...,COP_UNILOG14.pdf?1415982767,0,9,0
Iceland,2013,HealthCareEquipment&Ser...,Ossur12_Progress_Report.pdf?1362055198,0,3,0
Iceland,2014,HealthCareEquipment&Ser...,Ossur-CSR-Report-2013-final.pdf?1393607217,0,6,0
Iceland,2015,HealthCareEquipment&Ser...,%C3%96ssur_CSR_Report14_final.pdf?1425029306,0,22,0
Iceland,2016,HealthCareEquipment&Ser...,Ossur_CSR_Report15_without_GP.pdf?1456522409,5,16,0
Iceland,2017,HealthCareEquipment&Ser...,Ossur_CSR_Report_Final_UN_version.pdf?1488244013,3,20,0
Iceland,2018,HealthCareEquipment&Ser...,Ossur17_CSR_Report_Final.pdf?1519848778,12,26,0
Iceland,2019,HealthCareEquipment&Ser...,%C3%96ssur_CSR_Report18_final.pdf?1551370092,7,30,0
India,2011,HealthCareEquipment&Ser...,Communication_on_Progress_-_WaterHealth_India_-11_Version_2_.pdf?1312956935,0,4,0
Japan,2011,HealthCareEquipment&Ser...,sysmex_sustainability_report11.pdf?1324270204,6,71,0
Japan,2012,HealthCareEquipment&Ser...,Sustainability_Report12.pdf?1354669045,9,94,0
Japan,2013,HealthCareEquipment&Ser...,sys_csr2013_e_all.pdf?1386045528,12,78,0
Japan,2014,HealthCareEquipment&Ser...,sys_csr2014_e_all.pdf?1417565049,23,131,0
Japan,2014,HealthCareEquipment&Ser...,Terumo_Annual_Report14_EN_141009.pdf?1412850116,3,118,2
Japan,2015,HealthCareEquipment&Ser...,AnnualReport15_Sustainability_E.pdf?1444358562,32,94,10
Japan,2015,HealthCareEquipment&Ser...,sys_csr2015_e_all.pdf?1449111236,23,194,0
Japan,2016,HealthCareEquipment&Ser...,%E2%98%85sysmex_CSR16_Eng%28Full%29.pdf?1480649858,17,34,0
Japan,2016,HealthCareEquipment&Ser...,CSRreport2016E.pdf?1482382839,14,81,2
Japan,2016,HealthCareEquipment&Ser...,Nihon_Kohden_CSR_Report15.pdf?1453271864,8,34,0
Japan,2016,HealthCareEquipment&Ser...,terumo_sus_en1007.pdf?1475819550,27,90,8
Japan,2017,HealthCareEquipment&Ser...,NIHON_KOHDEN_REPORT17E.pdf?1516142902,11,51,0
Japan,2017,HealthCareEquipment&Ser...,Sustainability_Report17_E.pdf?1507253388,26,135,2
Japan,2018,HealthCareEquipment&Ser...,csr2018_all_en.pdf?1543536552,1,1,0
Japan,2018,HealthCareEquipment&Ser...,Nihon_Kohden_Report18.pdf?1539596506,16,43,0
Japan,2018,HealthCareEquipment&Ser...,terumo_SR18E02_all_GC.pdf?1538698922,20,244,1
Japan,2019,HealthCareEquipment&Ser...,Nihon_Kohden_Report19.pdf?1570669524,13,47,0
Kenya,2011,HealthCareEquipment&Ser...,Communication_on_Progress10.pdf?1299562426,1,45,0
Kenya,2012,HealthCareEquipment&Ser...,AAR_Communication_of_sustainability11.pdf?1331218912,3,104,1
Kenya,2013,HealthCareEquipment&Ser...,COP_report_of_sustainability12.pdf?1363075629,0,77,0
Kenya,2014,HealthCareEquipment&Ser...,AAR_UN_Global_Compact_COP_FY2013.pdf?1401970229,23,291,43
Kenya,2014,HealthCareEquipment&Ser...,BEBRA_LIMITED_COP_REPORT.pdf?1401370402,0,5,0
Kenya,2014,HealthCareEquipment&Ser...,UN_GLOBAL_COMPACT_COP-1-1.pdf?1392202831,0,3,0
Kenya,2015,HealthCareEquipment&Ser...,COP14.pdf?1433491279,20,136,8
Kenya,2015,HealthCareEquipment&Ser...,UNGC_Communication_on_Progress15.pdf?1441639507,0,7,0
Kenya,2016,HealthCareEquipment&Ser...,AAR_Group_COP15.pdf?1464874158,2,23,2
Kenya,2016,HealthCareEquipment&Ser...,Africa_Biosystems_COP160205_vf.pdf?1454746691,0,7,0
Kenya,2016,HealthCareEquipment&Ser...,Communication_on_Progress.pdf?1473241390,0,6,0
Kenya,2017,HealthCareEquipment&Ser...,COP17.pdf?1504769674,0,4,0
Kenya,2017,HealthCareEquipment&Ser...,LANCET_COP17_.pdf?1504770735,0,3,0
Kenya,2018,HealthCareEquipment&Ser...,AAR_Health_Care_Holdings_Ltd__Communication_of_Progress17.pdf?1527744759,0,68,0
Kenya,2018,HealthCareEquipment&Ser...,UNGC-Communication_on_Progress18.pdf?1536787362,0,5,0
Kenya,2019,HealthCareEquipment&Ser...,AAR_Health_Care_Holdings_Ltd18_COP.pdf?1559279675,0,68,0
Kenya,2019,HealthCareEquipment&Ser...,UNGC-Communication_on_Progress_SEP19.pdf?1567586380,0,6,0
"Korea, Repub...",2018,HealthCareEquipment&Ser...,2018_Communication_on_Progress%28UNIVERA%29_update.pdf?1528230984,1,1,0
"Korea, Repub...",2019,HealthCareEquipment&Ser...,2019_Communication_on_Progress%28UNIVERA%29.pdf?1554277575,1,1,0
Lebanon,2019,HealthCareEquipment&Ser...,AUBMC_COP_Report19.pdf?1556601756,0,51,0
Lithuania,2015,HealthCareEquipment&Ser...,CSR_report_EN14.pdf?1432583068,0,49,0
Lithuania,2016,HealthCareEquipment&Ser...,Social_responsibility_report15.pdf?1464197448,0,32,0
Lithuania,2017,HealthCareEquipment&Ser...,Social_responsibility_report16.pdf?1495699393,2,22,0
Lithuania,2018,HealthCareEquipment&Ser...,Report_Interlux17.pdf?1527257263,1,20,0
Luxembourg,2019,HealthCareEquipment&Ser...,UN_Global_Compact_B_Medical_Systems.pdf?1555079032,5,8,1
Myanmar,2014,HealthCareEquipment&Ser...,AR_COP_Report.pdf?1414660352,0,23,0
Myanmar,2015,HealthCareEquipment&Ser...,C_S_R_Report_October15.pdf?1445936640,0,31,0
Myanmar,2016,HealthCareEquipment&Ser...,2015_November16_October_UNGC_Report.pdf?1477300525,0,35,0
Myanmar,2017,HealthCareEquipment&Ser...,UNGC_COP16_2017.pdf?1508828561,0,37,0
Myanmar,2018,HealthCareEquipment&Ser...,UNGC_Report17_2018.pdf?1539833500,0,41,0
Myanmar,2019,HealthCareEquipment&Ser...,UNGC18-2019.pdf?1571221063,0,52,0
Netherlands,2019,HealthCareEquipment&Ser...,SVIZERA_SCR_COP2019.pdf?1559574151,0,2,0
Nigeria,2016,HealthCareEquipment&Ser...,UN_Global_Compact_COP_REPORT_LiveWell_Initiative_LWI16.pdf?1477048429,0,13,0
Nigeria,2017,HealthCareEquipment&Ser...,UNGC_COP17_-_2018.pdf?1508111895,0,2,0
Nigeria,2018,HealthCareEquipment&Ser...,LWI_Corporate_Profile_Updated18.pdf?1539656455,0,121,0
Nigeria,2018,HealthCareEquipment&Ser...,UNGC_COP18_-_2019.pdf?1539656455,0,3,0
Nigeria,2018,HealthCareEquipment&Ser...,WIHA_Newsletter_-_Issue_1.pdf?1539656455,0,5,0
Nigeria,2019,HealthCareEquipment&Ser...,LWI_Corporate_Profile_Updated19.pdf?1571192266,0,123,0
Nigeria,2019,HealthCareEquipment&Ser...,Narrative_Bio_Bisi_Bright.pdf?1571192266,0,16,0
Norway,2014,HealthCareEquipment&Ser...,Corporate_social_responsibility_in_healthcare___care_services14.pdf?1408367907,0,55,0
Norway,2015,HealthCareEquipment&Ser...,Aleris_Corporate_social_responsibility_in_healthcare___care_services15.pdf?1435148447,1,59,0
Norway,2015,HealthCareEquipment&Ser...,Sustainability_Report_Laerdal14.pdf?1421335235,3,46,0
Norway,2016,HealthCareEquipment&Ser...,Global_Compact_interim_report_Laerdal_March_2016.pdf?1457393602,0,2,0
Norway,2016,HealthCareEquipment&Ser...,Laerdal_Sustainability_Report15_to_May_2016.pdf?1461878368,4,33,2
Norway,2017,HealthCareEquipment&Ser...,Sustainability_report_May16.pdf?1493372900,4,33,2
Norway,2018,HealthCareEquipment&Ser...,Impact_and_Sustainability_update18.pdf?1533040374,0,53,0
Norway,2019,HealthCareEquipment&Ser...,Impact_and_Sustainability_update18.pdf?1564651055,0,53,0
Philippines,2016,HealthCareEquipment&Ser...,MDH_UNGC_COP15.pdf?1473496131,3,83,3
Philippines,2017,HealthCareEquipment&Ser...,COP2016_MDH.pdf?1505136781,2,10,0
Philippines,2018,HealthCareEquipment&Ser...,2017_Manila_Doctors_Communication_on_Progress_Report.pdf?1536653653,15,29,15
Poland,2014,HealthCareEquipment&Ser...,GC14_ENG.pdf?1418832952,0,18,0
Poland,2014,HealthCareEquipment&Ser...,RR_Pelion_ENG.pdf?1403015711,2,60,1
Poland,2015,HealthCareEquipment&Ser...,Communication_on_Progress15_-_Scanmed_Multimedis.pdf?1450280853,0,18,0
Saudi Arabia,2013,HealthCareEquipment&Ser...,CSRreport2012finalupload.pdf?1371818351,9,177,0
Singapore,2018,HealthCareEquipment&Ser...,Sivantos_COP18_05_23.pdf?1527075990,1,8,0
Singapore,2019,HealthCareEquipment&Ser...,Sivantos_CoP-Report19.pdf?1558600807,5,10,2
South Africa,2019,HealthCareEquipment&Ser...,UN-Global-Compact-Progress-Report-2018.pdf?1551278818,34,49,4
Sri Lanka,2012,HealthCareEquipment&Ser...,COP.pdf?1344334592,0,4,0
Sri Lanka,2012,HealthCareEquipment&Ser...,Durdans_Annual_Report11_12_CSE.pdf?1344615706,0,46,0
Sri Lanka,2013,HealthCareEquipment&Ser...,Durdans%20Hospital%20Annual%20Report%202012-13.pdf?1375949071,0,77,0
Sri Lanka,2014,HealthCareEquipment&Ser...,durdanshospital.pdf?1408016421,0,84,0
Sri Lanka,2015,HealthCareEquipment&Ser...,Ceylon_Hospital_PLC_-_Annual_Report15.pdf?1438410593,0,139,0
Sweden,2013,HealthCareEquipment&Ser...,COP_CDI_Dental_-13-05-10.pdf?1368188920,0,3,0
Sweden,2014,HealthCareEquipment&Ser...,COP_CDI_Dental_-14-04-02.pdf?1397678025,0,3,0
Sweden,2015,HealthCareEquipment&Ser...,COP_CDI_Dental_-15-04-15.pdf?1429371989,0,3,0
Sweden,2016,HealthCareEquipment&Ser...,COP_CDI_Dental_-16-04-15.pdf?1461072720,0,3,0
Sweden,2016,HealthCareEquipment&Ser...,Sustainability_Report15.pdf?1464107311,0,8,0
Sweden,2017,HealthCareEquipment&Ser...,Getinge_Annual_Report16.pdf?1495618080,4,86,0
Sweden,2017,HealthCareEquipment&Ser...,Permobil_Global_Compact_COP_Dec.pdf?1513940113,1,3,0
Sweden,2018,HealthCareEquipment&Ser...,COP_UN_Global_Compact_Molnlycke.pdf?1530603609,3,130,1
Sweden,2018,HealthCareEquipment&Ser...,elekta-annual-report-18-en.pdf?1535455457,3,93,0
Sweden,2019,HealthCareEquipment&Ser...,elekta-annual-report-19-en.pdf?1565358444,1,83,1
Sweden,2019,HealthCareEquipment&Ser...,Permobil_COP_UN_Global_Compact18.pdf?1548992386,1,2,0
Switzerland,2012,HealthCareEquipment&Ser...,Ascom_GB11_E.pdf?1332928416,2,17,0
Switzerland,2013,HealthCareEquipment&Ser...,annual-report-2012-eng.pdf?1366186126,0,20,0
Switzerland,2014,HealthCareEquipment&Ser...,Ascom_GB13_AnnualReport_en_WEB_ES.pdf?1400081343,0,27,0
Switzerland,2016,HealthCareEquipment&Ser...,Ascom_Holding_Annual_Report15.pdf?1459943454,0,12,0
Switzerland,2017,HealthCareEquipment&Ser...,Ascom_Sustainability_Report16.pdf?1491380450,0,1,0
Switzerland,2018,HealthCareEquipment&Ser...,Ascom_Annual_Report17.pdf?1520247214,0,15,0
Switzerland,2018,HealthCareEquipment&Ser...,Sonova_AR17_CSR_Report_en.pdf?1527143839,22,34,0
Switzerland,2019,HealthCareEquipment&Ser...,03_Sonova_AR18_CR_Report_en.pdf?1558679306,24,50,0
Switzerland,2019,HealthCareEquipment&Ser...,Ascom_Annual_Report18.pdf?1551963418,0,17,0
Syrian Arab ...,2011,HealthCareEquipment&Ser...,SawafMedical_20Institute_20for_20Imaging_20COP_20FINAL._1_.pdf?1310025099,0,10,0
Syrian Arab ...,2012,HealthCareEquipment&Ser...,Sawaf_Medical_Institute_for_Imaging_COP12.pdf?1341741119,0,10,0
Syrian Arab ...,2013,HealthCareEquipment&Ser...,COP%208%20October%202013.pdf?1381237032,0,8,0
Syrian Arab ...,2015,HealthCareEquipment&Ser...,COP15.pdf?1443005535,0,3,0
"Tanzania, Un...",2019,HealthCareEquipment&Ser...,PYRAMID_PHARMA_LTD's_COP_for_UNGCTZ.pdf?1564740405,0,5,0
Thailand,2011,HealthCareEquipment&Ser...,Tana_Netting_CSR_Report10.pdf?1303879734,2,40,0
Thailand,2016,HealthCareEquipment&Ser...,COP_January_2016_Chiva-Som_pdf.pdf?1452498115,10,8,0
Thailand,2017,HealthCareEquipment&Ser...,COP_January_2017_Chiva-Som_pdf.pdf?1484120274,10,9,0
Thailand,2018,HealthCareEquipment&Ser...,COP_January_2018_Chiva-Som.pdf?1515663363,10,9,0
Thailand,2019,HealthCareEquipment&Ser...,COP_January_2019_Chiva-Som.pdf?1561347307,10,9,0
Turkey,2011,HealthCareEquipment&Ser...,Merkez_la_COP.pdf?1319629628,0,2,0
Turkey,2012,HealthCareEquipment&Ser...,Alvimedica2012_COP.pdf?1353838697,0,4,0
Turkey,2014,HealthCareEquipment&Ser...,Alvimedica13UN_Glb_Compct_Report.pdf?1392990999,0,8,0
United Kingdom,2014,HealthCareEquipment&Ser...,Sustainabilty_Report12__2013_%28email%29.pdf?1402931014,0,6,0
United Kingdom,2019,HealthCareEquipment&Ser...,ConvaTec_Group_Plc_-_UNGC_Communication_on_Progress18.pdf?1553162104,1,1,0
United Kingdom,2019,HealthCareEquipment&Ser...,Corporate_Responsibility_Report18.pdf?1553162104,72,84,16
United State...,2011,HealthCareEquipment&Ser...,UN_Global_Report11_Final.pdf?1321298747,2,8,0
United State...,2012,HealthCareEquipment&Ser...,2012_Communication_on_Progress.pdf?1325782092,0,5,0
United State...,2012,HealthCareEquipment&Ser...,2012_UN_Global_Compact_COP_RFF.pdf?1352910701,2,3,1
United State...,2013,HealthCareEquipment&Ser...,2013_Communication_on_Progress.pdf?1357324131,0,2,0
United State...,2013,HealthCareEquipment&Ser...,"Absolute%20Care%20Staffing%20Health%20Agency,%20Inc%20COP.pdf?1379726929",0,8,0
United State...,2017,HealthCareEquipment&Ser...,2017_Sustainability_Report_Europe.pdf?1494243968,29,42,2
United State...,2018,HealthCareEquipment&Ser...,2017_CR_Report_FINAL_for_web.pdf?1543518105,5,18,0
United State...,2018,HealthCareEquipment&Ser...,2018_Sustainability_Report_Europe.pdf?1530020182,19,50,10
United State...,2019,HealthCareEquipment&Ser...,2018CRReportFINAL_ONLINE_%282%29.pdf?1575556075,3,40,0
United State...,2019,HealthCareEquipment&Ser...,2019_Sustainability_Report_Europe.pdf?1564990196,12,35,1
United State...,2019,HealthCareEquipment&Ser...,CVS_Health_UNGC_COP18.pdf?1556138075,4,7,0
