year,Code,country,Count
2020,SWE,Sweden,12
2020,AFG,Afghanistan,11
2020,BHS,Bahamas,11
2020,BIH,Bosnia and Herzegovina,11
2020,ECU,Ecuador,11
2020,EGY,Egypt,11
2020,GEO,Georgia,11
2020,IRQ,Iraq,11
2020,LAO,Lao People's Democratic Republic,11
2020,LVA,Latvia,11
2020,MDV,Maldives,11
2020,MWI,Malawi,11
2020,NGA,Nigeria,11
2020,NIC,Nicaragua,11
2020,PRT,Portugal,11
2020,ROU,Romania,11
2020,TON,Tonga,11
2020,VAT,Holy See (Vatican City State),11
2020,VUT,Vanuatu,11
2020,FJI,Fiji,10
2020,GRC,Greece,10
2020,IDN,Indonesia,10
2020,KWT,Kuwait,10
2020,MKD,Macedonia,10
2020,MOZ,Mozambique,10
2020,"NAM",Namibia,10
2020,RUS,Russian Federation,10
2020,RUS,Russia,10
2020,BDI,Burundi,9
2020,BEN,Benin,9
2020,BFA,Burkina Faso,9
2020,COG,Republic of the Congo,9
2020,GNB,Guinea-Bissau,9
2020,KIR,Kiribati,9
2020,LKA,Sri Lanka,9
2020,NZL,New Zealand,9
2020,POL,Poland,9
2020,PRK,Democratic People's Republic of Korea,9
2020,STP,Sao Tome and Principe,9
2020,UZB,Uzbekistan,9
2020,ALB,Albania,8
2020,ARE,United Arab Emirates,8
2020,AUS,Australia,8
2020,CHE,Switzerland,8
2020,EST,Estonia,8
2020,GRD,Grenada,8
2020,KHM,Cambodia,8
2020,MCO,Monaco,8
2020,RWA,Rwanda,8
2020,SDN,Sudan,8
2020,SLV,El Salvador,8
2020,SWZ,Swaziland,8
2020,TJK,Tajikistan,8
2020,TZA,Tanzania,8
2020,VCT,Saint Vincent and the Grenadines,8
2020,BEL,Belgium,7
2020,DEU,Germany,7
2020,MDA,Moldova,7
2020,MEX,Mexico,7
2020,MNG,Mongolia,7
2020,MRT,Mauritania,7
2020,SAU,Saudi Arabia,7
2020,SVK,Slovakia,7
2020,VNM,Viet Nam,7
2020,BHR,Bahrain,6
2020,BOL,Bolivia,6
2020,BRA,Brazil,6
2020,CAF,Central African Republic,6
2020,COL,Colombia,6
2020,DNK,Denmark,6
2020,EU,NA,6
2020,FSM,Micronesia,6
2020,GAB,Gabon,6
2020,GNQ,Equatorial Guinea,6
2020,PNG,Papua New Guinea,6
2020,SVN,Slovenia,6
2020,ZWE,Zimbabwe,6
2020,CHN,China,5
2020,ETH,Ethiopia,5
2020,HTI,Haiti,5
2020,IRL,Ireland,5
2020,KGZ,Kyrgyzstan,5
2020,LBY,Libyan Arab Jamahiriya,5
2020,LBY,Libya,5
2020,PAK,Pakistan,5
2020,PRY,Paraguay,5
2020,TLS,Timor-Leste,5
2020,CAN,Canada,4
2020,CYP,Cyprus,4
2020,GHA,Ghana,4
2020,IND,India,4
2020,ISL,Iceland,4
2020,LTU,Lithuania,4
2020,MHL,Marshall Islands,4
2020,NLD,Netherlands,4
2020,OMN,Oman,4
2020,QAT,Qatar,4
2020,SUR,Suriname,4
2020,SYR,Syrian Arab Republic,4
2020,ARM,Armenia,3
2020,DZA,Algeria,3
2020,ERI,Eritrea,3
2020,LBN,Lebanon,3
2020,UKR,Ukraine,3
2020,USA,United States,3
2020,ZMB,Zambia,3
2020,CMR,Cameroon,2
2020,HUN,Hungary,2
2020,IRN,NA,2
2020,TUN,Tunisia,2
2020,ISR,Israel,1
2020,JOR,Jordan,1
