125,Tajikistan,668,MEDIUM HUMAN DEVELOPMENT
126,Cabo Verde,665,MEDIUM HUMAN DEVELOPMENT
127,Guatemala,663,MEDIUM HUMAN DEVELOPMENT
128,Nicaragua,660,MEDIUM HUMAN DEVELOPMENT
129,Bhutan,654,MEDIUM HUMAN DEVELOPMENT
130,Namibia,646,MEDIUM HUMAN DEVELOPMENT
131,India,645,MEDIUM HUMAN DEVELOPMENT
132,Honduras,634,MEDIUM HUMAN DEVELOPMENT
133,Bangladesh,632,MEDIUM HUMAN DEVELOPMENT
134,Kiribati,630,MEDIUM HUMAN DEVELOPMENT
135,Sao Tome and Principe,625,MEDIUM HUMAN DEVELOPMENT
136,Micronesia (Federated States of),620,MEDIUM HUMAN DEVELOPMENT
137,Lao People's Democratic Republic,613,MEDIUM HUMAN DEVELOPMENT
138,Eswatini (Kingdom of),611,MEDIUM HUMAN DEVELOPMENT
138,Ghana,611,MEDIUM HUMAN DEVELOPMENT
140,Vanuatu,609,MEDIUM HUMAN DEVELOPMENT
141,Timor-Leste,606,MEDIUM HUMAN DEVELOPMENT
142,Nepal,602,MEDIUM HUMAN DEVELOPMENT
143,Kenya,601,MEDIUM HUMAN DEVELOPMENT
144,Cambodia,594,MEDIUM HUMAN DEVELOPMENT
145,Equatorial Guinea,592,MEDIUM HUMAN DEVELOPMENT
146,Zambia,584,MEDIUM HUMAN DEVELOPMENT
147,Myanmar,583,MEDIUM HUMAN DEVELOPMENT
148,Angola,581,MEDIUM HUMAN DEVELOPMENT
149,Congo,574,MEDIUM HUMAN DEVELOPMENT
150,Zimbabwe,571,MEDIUM HUMAN DEVELOPMENT
151,Solomon Islands,567,MEDIUM HUMAN DEVELOPMENT
151,Syrian Arab Republic,567,MEDIUM HUMAN DEVELOPMENT
153,Cameroon,563,MEDIUM HUMAN DEVELOPMENT
154,Pakistan,557,MEDIUM HUMAN DEVELOPMENT
155,Papua New Guinea,555,MEDIUM HUMAN DEVELOPMENT
156,Comoros,554,MEDIUM HUMAN DEVELOPMENT
157,Mauritania,546,LOW HUMAN DEVELOPMENT
158,Benin,545,LOW HUMAN DEVELOPMENT
159,Uganda,544,LOW HUMAN DEVELOPMENT
160,Rwanda,543,LOW HUMAN DEVELOPMENT
161,Nigeria,539,LOW HUMAN DEVELOPMENT
162,Côte d'Ivoire,538,LOW HUMAN DEVELOPMENT
163,Tanzania (United Republic of),529,LOW HUMAN DEVELOPMENT
164,Madagascar,528,LOW HUMAN DEVELOPMENT
165,Lesotho,527,LOW HUMAN DEVELOPMENT
166,Djibouti,524,LOW HUMAN DEVELOPMENT
167,Togo,515,LOW HUMAN DEVELOPMENT
168,Senegal,512,LOW HUMAN DEVELOPMENT
169,Afghanistan,511,LOW HUMAN DEVELOPMENT
170,Haiti,510,LOW HUMAN DEVELOPMENT
170,Sudan,510,LOW HUMAN DEVELOPMENT
172,Gambia,496,LOW HUMAN DEVELOPMENT
173,Ethiopia,485,LOW HUMAN DEVELOPMENT
174,Malawi,483,LOW HUMAN DEVELOPMENT
175,Congo (Democratic Republic of the),480,LOW HUMAN DEVELOPMENT
175,Guinea-Bissau,480,LOW HUMAN DEVELOPMENT
175,Liberia,480,LOW HUMAN DEVELOPMENT
178,Guinea,477,LOW HUMAN DEVELOPMENT
179,Yemen,470,LOW HUMAN DEVELOPMENT
180,Eritrea,459,LOW HUMAN DEVELOPMENT
181,Mozambique,456,LOW HUMAN DEVELOPMENT
182,Burkina Faso,452,LOW HUMAN DEVELOPMENT
182,Sierra Leone,452,LOW HUMAN DEVELOPMENT
184,Mali,434,LOW HUMAN DEVELOPMENT
185,Burundi,433,LOW HUMAN DEVELOPMENT
185,South Sudan,433,LOW HUMAN DEVELOPMENT
187,Chad,398,LOW HUMAN DEVELOPMENT
188,Central African Republic,397,LOW HUMAN DEVELOPMENT
189,Niger,394,LOW HUMAN DEVELOPMENT
